用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
lmarlow,,30,42,0,254,60,0,0,0,1
jrimmer,"Los Angeles, California",16,3,0,2,1,0,0,0,1
olly,London,44,31,0,51,20,0,0,0,0
hookercookerman,,44,8,0,235,40,0,0,0,0
doxavore,"Chicago, Illinois",26,9,1,23,13,24,18,0,3
Bjwebb,"Cambridge, UK",31,22,1,112,47,91,35,4,13
daniel,Enköping,60,1,0,8,8,0,0,0,0
qerub,Sweden,100,287,0,593,67,0,0,0,16
leavengood,"Boynton Beach, FL",28,0,1,159,40,1,0,0,1
pjjw,"new york, ny",37,33,0,64,17,1,1,0,10
barrym,,20,2,0,44,3,0,0,0,0
ph,Montreal,163,144,0,323,115,0,0,0,0
pbx,Greenfield MA USA,70,38,0,12,6,0,0,0,5
fspeirs,"Greenock, Scotland",137,11,0,183,32,0,0,0,0
fernandoallen,Goiânia / Brazil,8,2,1,0,0,0,0,0,0
davidsmalley,"Harrogate, UK",35,6,0,24,8,0,0,0,0
njonsson,Houston,75,131,2,393,28,4,0,0,1
ecin,,40,10,3,280,143,0,0,0,0
progrium,"Austin, TX",3808,93,1,21420,2112,73,8,8,19
jhsu,"New York, NY",102,80,3,358,158,2,0,0,11
